"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Draba stylaris","Brassicaceae","Strict",0.134833333333333,"Genus",1,"Genus",NA
"Dracocephalum heterophyllum","Lamiaceae","Generalist",1.96888888888889,"Species",1,"Genus","PD"
"Dracocephalum tanguticum","Lamiaceae","Strict",1.66015,"Species",1,"Genus","PD"
"Drosera arcturi","Droseraceae","Strict",0.0564,"Species",0.19,"Genus",NA
"Dryas octopetala","Rosaceae","Strict",0.5526,"Species",0.65,"Species","PD"
"Duthiea brachypodium","Poaceae","Strict",2.73766666666667,"Species",0.2,"Family","PD"
"Eleocharis quinqueflora","Cyperaceae","Generalist",0.5674,"Genus",0.17,"Genus","PD"
"Elymus caninus","Poaceae","Generalist",6.21781379310345,"Genus",0.14,"Genus","PD"
"Elymus sibiricus","Poaceae","Generalist",2.6572,"Species",0.14,"Genus","PD"
"Epacris celata","Ericaceae","Generalist",0.0521424242424242,"Genus",0.27,"Family",NA
"Epacris glacialis","Ericaceae","Strict",0.0356,"Species",0.27,"Family",NA
"Epacris microphylla","Ericaceae","Generalist",0.0552,"Species",0.27,"Family",NA
"Epacris paludosa","Ericaceae","Generalist",0.0316,"Species",0.27,"Family",NA
"Epacris petrophila","Ericaceae","Generalist",0.0292,"Species",0.27,"Family",NA
"Epilobium alsinifolium","Onagraceae","Generalist",0.122194827586207,"Genus",1,"Genus",NA
"Epilobium angustifolium","Onagraceae","Generalist",0.105606666666667,"Species",1,"Genus","PD"
"Epilobium gunnianum","Onagraceae","Generalist",0.0638,"Species",1,"Genus",NA
"Epilobium palustre","Onagraceae","Generalist",0.100508333333333,"Species",1,"Genus","PD"
"Eremogone lychnidea","Caryophyllaceae","Strict",0.8581,"Genus",0.66,"Family",NA
"Erigeron bellidioides","Compositae","Generalist",0.6972,"Species",1,"Genus",NA
"Erigeron cinereus","Compositae","Generalist",0.246122857142857,"Genus",1,"Genus",NA
"Erigeron paludicola","Compositae","Strict",0.3408,"Species",1,"Genus",NA
"Erigeron pulchellus","Compositae","Strict",0.158,"Species",1,"Genus",NA
"Erigeron setosus","Compositae","Generalist",0.246122857142857,"Genus",1,"Genus",NA
"Eriophorum angustifolium","Cyperaceae","Generalist",0.41,"Species",0.12,"Genus",NA
"Eriophorum latifolium","Cyperaceae","Generalist",0.47728,"Genus",0.12,"Genus","PD"
"Eriophorum scheuchzeri","Cyperaceae","Strict",0.4276,"Species",0.12,"Genus",NA
"Erysimum hungaricum","Brassicaceae","Strict",0.812891666666667,"Genus",1,"Genus",NA
"Escallonia alpina","Escalloniaceae","Generalist",0.0359333333333333,"Genus",0.122129,"Genus",NA
"Euphorbia tibetica","Euphorbiaceae","Generalist",0.951333333333333,"Species",0.48,"Genus",NA
