,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
4681,Sesleria varia (Jacq.) Wettst.,1.5,Sesleria,,varia,NA,NA,,(Jacq.) Wettst.,kew-442137,TRUE,1.1,Synonym,Poaceae,Sesleria,,caerulea,,,(L.) Ard.,kew-441982,Accepted,FALSE,FALSE,FALSE,13/04/2020,Sesleria_caerulea
4715,Sisyrinchium aff. humile Phil.,1.58,Sisyrinchium,,humile,aff.,NA,,Phil.,kew-325157,TRUE,1.1,Synonym,Iridaceae,Sisyrinchium,,arenarium,,,Poepp.,kew-324953,Accepted,FALSE,FALSE,FALSE,13/04/2020,Sisyrinchium_arenarium
4720,Sisyrinchium arenarium Poepp.,4.6,Sisyrinchium,,arenarium,NA,NA,,Poepp.,kew-324953,TRUE,1.1,Accepted,Iridaceae,Sisyrinchium,,arenarium,,,Poepp.,kew-324953,Accepted,FALSE,FALSE,FALSE,13/04/2020,Sisyrinchium_arenarium
4745,Sisyrinchium philippi Klatt,5,Sisyrinchium,,philippi,NA,NA,,Klatt,kew-325094,TRUE,1.1,Synonym,Iridaceae,Olsynium,,philippii,,,(Klatt) Goldblatt,kew-324174,Accepted,TRUE,FALSE,FALSE,13/04/2020,Olsynium_philippii
4753,Sisyrinchium weberbauerianum Kraenzl.,0.17,Sisyrinchium,,weberbauerianum,NA,NA,,Kraenzl.,kew-324656,TRUE,1.1,Synonym,Iridaceae,Olsynium,,junceum,,,(E.Mey. ex C.Presl) Goldblatt,kew-324181,Accepted,FALSE,FALSE,FALSE,13/04/2020,Olsynium_junceum
5084,Trichophorum pumilum (L.) Pers. Orthodox,0.65,Trichophorum,,pumilum,NA,NA,,(L.) Pers. Orthodox,kew-270682,TRUE,1.1,Accepted,Cyperaceae,Trichophorum,,pumilum,,,(Vahl) Schinz & Thell.,kew-270682,Accepted,FALSE,FALSE,FALSE,13/04/2020,Trichophorum_pumilum
5097,Triglochin maritima L. Orthodox,0.7232,Triglochin,,maritima,NA,NA,,L. Orthodox,kew-308914,TRUE,1.1,Accepted,Juncaginaceae,Triglochin,,maritima,,,L.,kew-308914,Accepted,FALSE,FALSE,FALSE,13/04/2020,Triglochin_maritima
5101,Triglochin palustris L. Orthodox,1.761,Triglochin,,palustris,NA,NA,,L. Orthodox,kew-308924,TRUE,1.1,Accepted,Juncaginaceae,Triglochin,,palustris,,,L.,kew-308924,Accepted,FALSE,FALSE,FALSE,13/04/2020,Triglochin_palustris
5140,Trisetum spicatum (L.) K.Richt.,0.417,Trisetum,,spicatum,NA,NA,,(L.) K.Richt.,kew-448109,TRUE,1.1,Accepted,Poaceae,Trisetum,,spicatum,,,(L.) K.Richt.,kew-448109,Accepted,FALSE,FALSE,FALSE,13/04/2020,Trisetum_spicatum
5542,Drimys xerophila Parm.,28.85,Drimys,,xerophila,NA,NA,,Parm.,kew-2778016,TRUE,1.1,Synonym,Winteraceae,Tasmannia,,xerophila,,,(P.Parm.) M.Gray,kew-2518788,Unresolved,FALSE,FALSE,FALSE,13/04/2020,Tasmannia_xerophila
5802,Tasmannia xerophila (Parment.) M.Gray,28.85,Tasmannia,,xerophila,NA,NA,,(Parment.) M.Gray,kew-2518788,TRUE,1.1,Unresolved,Winteraceae,Tasmannia,,xerophila,,,(P.Parm.) M.Gray,kew-2518788,Unresolved,FALSE,FALSE,FALSE,13/04/2020,Tasmannia_xerophila
6700,Acaena pinnatifida Ruiz & Pav.,8.9,Acaena,,pinnatifida,NA,NA,,Ruiz & Pav.,rjp-3737,TRUE,1.1,Accepted,Rosaceae,Acaena,,pinnatifida,,,Ruiz & Pav.,rjp-3737,Accepted,FALSE,FALSE,FALSE,13/04/2020,Acaena_pinnatifida
6832,Achillea clavennae L. Orthodox,0.449,Achillea,,clavennae,NA,NA,,L. Orthodox,gcc-105259,TRUE,1.1,Accepted,Compositae,Achillea,,clavennae,,,L.,gcc-105259,Accepted,FALSE,FALSE,FALSE,13/04/2020,Achillea_clavennae
6840,Achillea erba-rotta All. subsp. moschata (Wulfen) Vacc.,0.274,Achillea,,erba-rotta,NA,subsp.,moschata,(Wulfen) Vacc.,gcc-68181,TRUE,1.1,Synonym,Compositae,Achillea,,erba-rotta,subsp.,moschata,(Wulfen) I.Richardson,gcc-23438,Accepted,FALSE,FALSE,FALSE,13/04/2020,Achillea_erba-rotta
6881,Aciphylla glacialis (F.Muell.) Benth.,5.899,Aciphylla,,glacialis,NA,NA,,(F.Muell.) Benth.,kew-2618030,TRUE,1.1,Accepted,Apiaceae,Aciphylla,,glacialis,,,(F.Muell.) Benth.,kew-2618030,Accepted,FALSE,FALSE,FALSE,13/04/2020,Aciphylla_glacialis
6889,Aciphylla simplicifolia F.Muell. ex Benth.,5.006,Aciphylla,,simplicifolia,NA,NA,,F.Muell. ex Benth.,kew-2618058,TRUE,1.1,Accepted,Apiaceae,Aciphylla,,simplicifolia,,,(F.Muell.) Benth.,kew-2618058,Accepted,FALSE,FALSE,FALSE,13/04/2020,Aciphylla_simplicifolia
7820,Anaphalis flavescens Hand.-Mazz.,0.0444,Anaphalis,,flavescens,NA,NA,,Hand.-Mazz.,gcc-45685,TRUE,1.1,Accepted,Compositae,Anaphalis,,flavescens,,,Hand.-Mazz.,gcc-45685,Accepted,FALSE,FALSE,FALSE,13/04/2020,Anaphalis_flavescens
7855,Androsace chamaejasme Wulfen ex Host Orthodox,0.5964,Androsace,,chamaejasme,NA,NA,,Wulfen ex Host Orthodox,tro-26400120,TRUE,1.1,Unresolved,Primulaceae,Androsace,,chamaejasme,,,Wulfen ex Host,tro-26400120,Unresolved,FALSE,FALSE,FALSE,13/04/2020,Androsace_chamaejasme
7858,Androsace obtusifolia All.,0.4268,Androsace,,obtusifolia,NA,NA,,All.,kew-2637668,TRUE,1.1,Accepted,Primulaceae,Androsace,,obtusifolia,,,All.,kew-2637668,Accepted,FALSE,FALSE,FALSE,13/04/2020,Androsace_obtusifolia
7862,Androsace villosa L.,1,Androsace,,villosa,NA,NA,,L.,kew-2637841,TRUE,1.1,Accepted,Primulaceae,Androsace,,villosa,,,L.,kew-2637841,Accepted,FALSE,FALSE,FALSE,13/04/2020,Androsace_villosa
7863,Androsace villosa L. subsp. koso-poljanskii (Ovcz.) Fed.,1.1564,Androsace,,villosa,NA,subsp.,koso-poljanskii,(Ovcz.) Fed.,kew-2637858,TRUE,1.1,Accepted,Primulaceae,Androsace,,villosa,subsp.,koso-poljanskii,(Ovcz.) Fed.,kew-2637858,Accepted,FALSE,FALSE,FALSE,13/04/2020,Androsace_villosa
7892,Anemone rivularis Buch.-Ham. ex DC. Orthodox,8.3141,Anemone,,rivularis,NA,NA,,Buch.-Ham. ex DC. Orthodox,kew-2638651,TRUE,1.1,Accepted,Ranunculaceae,Anemone,,rivularis,,,Buch.-Ham. ex DC.,kew-2638651,Accepted,FALSE,FALSE,FALSE,13/04/2020,Anemone_rivularis
7979,Antennaria dioica (L.) Gaertn. Uncertain,0.06,Antennaria,,dioica,NA,NA,,(L.) Gaertn. Uncertain,gcc-134033,TRUE,1.1,Accepted,Compositae,Antennaria,,dioica,,,(L.) Gaertn.,gcc-134033,Accepted,FALSE,FALSE,FALSE,13/04/2020,Antennaria_dioica
8059,Anthriscus sylvestris (L.) Hoffm. Orthodox,3.81,Anthriscus,,sylvestris,NA,NA,,(L.) Hoffm. Orthodox,kew-2641868,TRUE,1.1,Accepted,Apiaceae,Anthriscus,,sylvestris,,,(L.) Hoffm.,kew-2641868,Accepted,FALSE,FALSE,FALSE,13/04/2020,Anthriscus_sylvestris
