Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
LiuGuja,Adenophora stenanthina (Ledeb.) Kitag.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,106,150
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,25,10,0,50,29,50
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,25,10,0,50,25,50
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Adonis amurensis,China,Qinghai-Tibet Plateau,35.85,102,3800,NA,0,N,N,N,Y,1,25,10,0,50,23,50
Bu,Acronema chinense,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,36,50
Bu,Acronema chinense,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,20,50
Bu,Acronema chinense,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,12,50
Bu,Agrimonia pilosa,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,22,50
Bu,Agrimonia pilosa,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,26,50
Bu,Agrimonia pilosa,China,Qinghai-Tibet Plateau,35.85,102,2229,NA,0,N,N,N,Y,1,20,5,12,50,14,50
Bu,Agrimonia pilosa,China,Qinghai-Tibet Plateau,35.85,102,2700,NA,0,N,N,N,Y,1,25,10,0,50,33,50
Bu,Agrimonia pilosa,China,Qinghai-Tibet Plateau,35.85,102,2700,NA,0,N,N,N,Y,1,25,10,0,50,38,50
