ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
13.56,Asteraceae,Taraxacum sp,P,wind,3000,0.0723,0.061,0.0614
2.016,Cyperaceae,Carex brunnea,P,unassisted,3028,0.0544,0.0628,0.0789
10.03,Poaceae,Trikeraia pappiformis ,P,unassisted,2876,0.0697,0.0625,0.0652
1.29,Rosaceae,Potentilla bifurca ,P,unassisted,3417,0.0644,0.0646,0.0689
2.169,Scrophulariaceae,Veronica biloba ,A,unassisted,3021,0.068,0.0695,0.0616
2.102,Poaceae,Festuca sinensis,P,unassisted,2954,0.0706,0.0644,0.0645
25.18,Caryophyllaceae,Dianthus sp,P,unassisted,3080,0.063,0.0723,0.0652
2.175,Scrophulariaceae,Pedicularis tristis ,P,unassisted,3500,0.0686,0.0689,0.0634
24.04,Apiaceae,Carum buriaticum ,P,unassisted,2160,0.0641,0.0624,0.0762
24.17,Apiaceae,Carum sp,P,unassisted,2160,0.0641,0.0624,0.0762
14.04,Asteraceae,Chenopodium prostratum,A,unassisted,2954,0.0694,0.0619,0.073
15.11,Asteraceae,Polygonum sparsipilosum ,A,unassisted,3397,0.0676,0.0705,0.0677
17.08,Alliaceae,Allium przewalskianum ,P,ant,2976,0.0665,0.0518,0.0915
29.05,Scrophulariaceae,Pedicularis sp2,A,unassisted,3050,0.0693,0.0706,0.0702
10.09,Poaceae,Festuca kirilowii,P,unassisted,3740,0.0677,0.0854,0.0581
