Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Campanula_latifolia,,,K_28477,Austria,,,,,,N,N,N,Y,Y,18.5,18.5,100,100
Campanula_latifolia,,,K_53235,United-Kingdom,,,,,,N,Y,Y,Y,N,20,20,8,17
Campanula_latifolia,,,K_53235,United-Kingdom,,,,,,N,Y,Y,Y,N,20,20,17,19
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,Y,Y,Y,N,20,20,48,50
Campanula_latifolia,,,K_53235,United-Kingdom,,,,,,N,Y,Y,Y,N,21,21,16,18
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,N,Y,N,21,21,0,50
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,N,Y,Y,21,21,0,50
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,Y,Y,N,21,21,0,50
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,Y,Y,Y,N,21,21,50,50
Campanula_latifolia,,,K_28477,Austria,,,,,,N,Y,N,Y,Y,25,25,13,17
Campanula_latifolia,,,K_28477,Austria,,,,,,N,Y,N,Y,Y,25,25,26,38
Campanula_latifolia,,,K_28477,Austria,,,,,,N,Y,N,Y,Y,26,26,16,16
Campanula_latifolia,,,K_92472,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,0,44
Campanula_raineri,,,K_203524,Italy,,,,,,N,Y,N,Y,N,5,5,18,20
Campanula_raineri,,,K_203524,Italy,,,,,,N,N,N,Y,N,15,15,0,50
Campanula_raineri,,,K_203524,Italy,,,,,,N,Y,N,Y,N,15,15,18,20
Campanula_raineri,,,K_203672,Italy,,,,,,N,N,N,Y,N,15,15,0,50
Campanula_raineri,,,K_203672,Italy,,,,,,N,Y,N,Y,Y,15,15,15,19
Campanula_raineri,,,PAV_CO146,Italy,,,,,,N,Y,N,Y,Y,15,15,11,11
Campanula_raineri,,,PAV_CO363,Italy,,,,,,N,Y,N,Y,Y,15,15,47,48
Campanula_raineri,,,PAV_LC305,Italy,,,,,,N,Y,N,Y,Y,15,15,28,28
Campanula_raineri,,,K_203524,Italy,,,,,,N,N,N,Y,N,20,20,0,47
Campanula_raineri,,,K_203524,Italy,,,,,,N,Y,N,Y,N,20,20,18,19
Campanula_raineri,,,K_203672,Italy,,,,,,N,N,N,Y,N,20,20,0,50
Campanula_raineri,,,K_203672,Italy,,,,,,N,Y,N,Y,N,20,20,17,19
Campanula_raineri,,,PAV_CO372,Italy,,,,,,N,Y,N,Y,N,20,20,14,14
Campanula_sarmatica,,,K_343462,Georgia,,,,,,N,N,N,Y,Y,15,15,1,10
Campanula_sarmatica,,,K_343462,Georgia,,,,,,N,Y,N,Y,N,15,15,10,10
Campanula_sarmatica,,,K_343462,Georgia,,,,,,N,N,N,Y,N,20,20,0,10
Campanula_serrata,,,WARS_047/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,270,500
Campanula_serrata,,,WARS_082/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,360,500
Campanula_serrata,,,WARS_083/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,340,500
Campanula_serrata,,,WARS_084/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,340,500
Campanula_serrata,,,WARS_085/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,265,500
Carduus_argemone,,,K_345525,United-Kingdom,,,,,,N,N,N,Y,N,15,15,11,18
Carduus_argemone,,,K_345525,United-Kingdom,,,,,,N,N,N,Y,N,20,20,17,18
Carduus_argemone,,,K_345525,United-Kingdom,,,,,,N,N,N,Y,N,25,25,18,18
Carex_buxbaumii,,,K_115973,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,6,8
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,Y,Y,Y,Y,15,15,12,12
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,N,Y,Y,Y,15,15,13,13
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,N,Y,Y,Y,25,25,1,6
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,N,Y,Y,Y,25,25,3,15
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,Y,Y,Y,Y,25,25,9,11
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,0,10
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,N,Y,Y,Y,26,26,0,8
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,Y,N,Y,Y,26,26,0,7
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,Y,N,Y,Y,26,26,0,7
Carex_capillaris,,,K_128849,United-Kingdom,,,,,,N,Y,N,Y,Y,26,26,3,10
Carex_lachenalii,,,K_137119,United-Kingdom,,,,,,N,N,Y,Y,Y,26,26,8,10
Carex_microglochin,,,K_121541,United-Kingdom,,,,,,Y,N,Y,Y,Y,26,26,7,9
Carex_pulicaris,,,K_91844,United-Kingdom,,,,,,Y,N,N,Y,Y,25,25,47,51
Carex_pulicaris,,,K_91844,United-Kingdom,,,,,,Y,N,N,Y,Y,26,26,13,17
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,N,N,N,Y,N,21,21,0,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,N,N,N,Y,N,26,26,0,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,0,8
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,N,N,Y,Y,26,26,1,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,Y,Y,Y,Y,26,26,3,9
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,N,N,Y,Y,26,26,3,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,N,Y,Y,Y,26,26,4,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,N,Y,Y,Y,26,26,5,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,Y,N,Y,Y,Y,26,26,8,10
Carex_rariflora,,,K_122445,United-Kingdom,,,,,,N,N,N,Y,N,31,31,0,10
Carex_rostrata,,,K_138080,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,14,16
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,N,Y,N,21,21,0,20
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,N,Y,N,26,26,0,19
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,Y,N,N,Y,Y,26,26,0,16
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,Y,N,Y,Y,26,26,2,20
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,Y,Y,Y,26,26,2,8
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,Y,Y,Y,Y,26,26,6,18
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,Y,Y,Y,26,26,6,20
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,N,Y,Y,26,26,7,19
Carex_saxatilis,,,K_122423,United-Kingdom,,,,,,Y,Y,Y,Y,Y,26,26,7,9
Carex_saxatilis,,,K_121530,United-Kingdom,,,,,,N,N,N,Y,N,31,31,0,20
Carlina_biebersteinii,,,K_361725,Hungary,,,,,,N,N,N,Y,N,10,10,20,20
