Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Doronicum austriacum,Doronicum austriacum,Doronicum austriacum,Doronicum austriacum,Compositae,Doronicum,NA,austriacum,NA,NA,,,gcc-142968,TRUE,1.1,Accepted,Compositae,Doronicum,,austriacum,,,Jacq.,gcc-142968,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Doronicum stenoglossum,Doronicum stenoglossum,Doronicum stenoglossum,Doronicum stenoglossum,Compositae,Doronicum,NA,stenoglossum,NA,NA,,,gcc-144732,TRUE,1.1,Accepted,Compositae,Doronicum,,stenoglossum,,,Maxim.,gcc-144732,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba aizoides,Draba aizoides,Draba aizoides,Draba aizoides,Brassicaceae,Draba,NA,aizoides,NA,NA,,,kew-2776161,TRUE,1.1,Accepted,Brassicaceae,Draba,,aizoides,,,L.,kew-2776161,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba eriopoda,Draba eriopoda,Draba eriopoda,Draba eriopoda,Brassicaceae,Draba,NA,eriopoda,NA,NA,,,kew-2776595,TRUE,1.1,Accepted,Brassicaceae,Draba,,eriopoda,,,Turcz. ex Ledeb.,kew-2776595,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba eriopoda Turcz.,Draba eriopoda Turcz.,Draba eriopoda,Draba eriopoda,Brassicaceae,Draba,NA,eriopoda,NA,NA,,Turcz.,kew-2776595,TRUE,1.1,Accepted,Brassicaceae,Draba,,eriopoda,,,Turcz. ex Ledeb.,kew-2776595,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba gilliesii,Draba gilliesii,Draba gilliesii,Draba gilliesii,Brassicaceae,Draba,NA,gilliesii,NA,NA,,,kew-2776631,TRUE,1.1,Accepted,Brassicaceae,Draba,,gilliesii,,,Hook. & Arn.,kew-2776631,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba hoppeana,Draba hoppeana,Draba hoppeana,Draba hoppeana,Brassicaceae,Draba,NA,hoppeana,NA,NA,,,kew-2776753,TRUE,1.1,Accepted,Brassicaceae,Draba,,hoppeana,,,Rchb.,kew-2776753,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba ladyginii,Draba ladyginii,Draba ladyginii,Draba ladyginii,Brassicaceae,Draba,NA,ladyginii,NA,NA,,,kew-2776866,TRUE,1.1,Accepted,Brassicaceae,Draba,,ladyginii,,,Pohle,kew-2776866,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba lanceolata,Draba lanceolata,Draba lanceolata,Draba lanceolata,Brassicaceae,Draba,NA,lanceolata,NA,NA,,,kew-2776873,TRUE,1.1,Accepted,Brassicaceae,Draba,,lanceolata,,,Royle,kew-2776873,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba nemorosa L.,Draba nemorosa L.,Draba nemorosa,Draba nemorosa,Brassicaceae,Draba,NA,nemorosa,NA,NA,,L.,kew-2777030,TRUE,1.1,Accepted,Brassicaceae,Draba,,nemorosa,,,L.,kew-2777030,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba norvegica,Draba norvegica,Draba norvegica,Draba norvegica,Brassicaceae,Draba,NA,norvegica,NA,NA,,,kew-2777076,TRUE,1.1,Accepted,Brassicaceae,Draba,,norvegica,,,Gunnerus,kew-2777076,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Draba oreades,Draba oreades,Draba oreades,Draba oreades,Brassicaceae,Draba,NA,oreades,NA,NA,,,kew-2777129,TRUE,1.1,Accepted,Brassicaceae,Draba,,oreades,,,Schrenk,kew-2777129,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
