File,Taxon,Accession,Dish,Temperature_day,Temperature_night,Photoperiod,Normal,Sown,Germinated
Venn cool fridge,Trisetum spicatum,Spion Kopje,6,12,10,14,20,20,16
Venn cool fridge,Trisetum spicatum,Spion Kopje,7,12,10,14,20,20,15
Venn cool fridge,Trisetum spicatum,Spion Kopje,8,12,10,14,20,20,14
Venn cool fridge,Trisetum spicatum,stirling,1,12,10,14,20,20,15
Venn cool fridge,Trisetum spicatum,stirling,2,12,10,14,20,20,6
Venn cool fridge,Trisetum spicatum,stirling,3,12,10,14,20,20,7
Venn cool fridge,Trisetum spicatum,stirling,4,12,10,14,20,20,6
Venn cool fridge,Trisetum spicatum,stirling,5,12,10,14,20,20,6
Venn cool fridge,Trisetum spicatum,stirling,6,12,10,14,20,20,12
Venn cool fridge,Trisetum spicatum,stirling,7,12,10,14,20,20,7
Venn cool fridge,Trisetum spicatum,stirling,8,12,10,14,20,20,6
Venn cool fridge,Microseris lanceolata,KB2,1,12,10,14,20,20,15
Venn cool fridge,Microseris lanceolata,KB2,2,12,10,14,20,20,18
Venn cool fridge,Microseris lanceolata,KB2,3,12,10,14,19,20,18
Venn cool fridge,Microseris lanceolata,KB2,4,12,10,14,20,20,17
Venn cool fridge,Microseris lanceolata,KB2,5,12,10,14,20,20,14
Venn cool fridge,Microseris lanceolata,KB2,6,12,10,14,20,20,9
Venn cool fridge,Microseris lanceolata,KB2,7,12,10,14,20,20,16
Venn cool fridge,Microseris lanceolata,KB2,8,12,10,14,20,20,14
Venn cool fridge,Microseris lanceolata,HWP,1,12,10,14,20,20,20
Venn cool fridge,Microseris lanceolata,HWP,2,12,10,14,20,20,18
Venn cool fridge,Microseris lanceolata,HWP,3,12,10,14,20,20,18
Venn cool fridge,Microseris lanceolata,HWP,4,12,10,14,20,20,18
Venn cool fridge,Microseris lanceolata,HWP,5,12,10,14,20,20,14
Venn cool fridge,Microseris lanceolata,HWP,6,12,10,14,20,20,17
Venn cool fridge,Microseris lanceolata,HWP,7,12,10,14,20,20,16
Venn cool fridge,Microseris lanceolata,HWP,8,12,10,14,20,20,17
Venn cool fridge,Microseris lanceolata,McKay,1,12,10,14,20,20,6
Venn cool fridge,Microseris lanceolata,McKay,2,12,10,14,20,20,6
Venn cool fridge,Microseris lanceolata,McKay,3,12,10,14,20,20,8
Venn cool fridge,Microseris lanceolata,McKay,4,12,10,14,20,20,6
Venn cool fridge,Microseris lanceolata,McKay,5,12,10,14,20,20,7
Venn cool fridge,Microseris lanceolata,McKay,6,12,10,14,20,20,6
Venn cool fridge,Microseris lanceolata,McKay,7,12,10,14,20,20,8
Venn cool fridge,Microseris lanceolata,McKay,8,12,10,14,20,20,4
Venn cool fridge,Microseris lanceolata,Magdala,1,12,10,14,20,20,20
Venn cool fridge,Microseris lanceolata,Magdala,2,12,10,14,20,20,17
Venn cool fridge,Microseris lanceolata,Magdala,3,12,10,14,20,20,14
Venn cool fridge,Microseris lanceolata,Magdala,4,12,10,14,20,20,20
Venn cool fridge,Microseris lanceolata,Magdala,5,12,10,14,20,20,17
Venn cool fridge,Microseris lanceolata,Magdala,6,12,10,14,20,20,19
Venn cool fridge,Microseris lanceolata,Magdala,7,12,10,14,20,20,16
Venn cool fridge,Microseris lanceolata,Magdala,8,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Magdala,1,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Magdala,2,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Magdala,3,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Magdala,4,12,10,14,20,20,19
Venn cool fridge,Rytidosperma nudiflora,Magdala,5,12,10,14,20,20,19
Venn cool fridge,Rytidosperma nudiflora,Magdala,6,12,10,14,20,20,20
Venn cool fridge,Rytidosperma nudiflora,Magdala,7,12,10,14,20,20,19
Venn cool fridge,Rytidosperma nudiflora,Magdala,8,12,10,14,20,20,19
Venn cool fridge,Rytidosperma nudiflora,Howitt,1,12,10,14,20,20,19
Venn cool fridge,Rytidosperma nudiflora,Howitt,2,12,10,14,20,20,20
Venn cool fridge,Rytidosperma nudiflora,Howitt,3,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Howitt,4,12,10,14,20,20,18
Venn cool fridge,Rytidosperma nudiflora,Howitt,5,12,10,14,20,20,17
Venn cool fridge,Rytidosperma nudiflora,Howitt,6,12,10,14,20,20,17
Venn cool fridge,Rytidosperma nudiflora,Howitt,7,12,10,14,19,20,14
